"date","stars","text","source","code"
"07.06.2019","4","Mit der DKB habe ich gemischte Erfahrungen gemacht. Das Konto existiert seit 5 oder 6 Jahren, weiss nicht genau. Letztes Jahr im Sommer in der Hotline durchzukommen war ein Ding der Unmöglichkeit. Fand ich jetzt nun nicht so doll. Da hat man nur mal eine kleine Frage und dann wird/wurde es so ein Kraftakt da mal durchzukommen. Aber (!!!!!) wenn man sie denn dann mal hatte, waren Sie nett und kompetent.  Seit einigen Monaten hat es sich die Erreichbarkeit aber extrem verbessert!!! Scheinbar hat die Bank an sich gearbeitet und ihr Problem gelöst..... muss man ja dann auch mal lobend erwähnen. Wir sind alle Menschen und machen Fehler, aber wenn man dazu steht und das Problem löst, muss es auch entsprechend gewürdigt werden - finde ich. Nur meckern und nörgeln ist auch eine Form der Unfainess.  Ich bin ein kleines Weichei, wenn ich auf der Homepage etwas sehe, was ich nicht ganz verstehe, frage ich sicherheitshalber noch mal nach. Habe einfach Angst, was falsch zu machen. Aber eigentlich ist die Seite gut und einfach aufgebaut und man kann (als Technik-Vollidiot, der ich bin) verstehen, was man machen soll.  Die Tan-Umstellung fand ich von der Sache her simpel, wenn auch etwas Frech, das man mich dazu zwang. Die Art und Weise fand ich für eine Bank unpassend. Aber es hat funktioniert. Bin nur etwas in Sorge wie Tan´s bekommen soll, wenn ich mein Handy verliert und was mit der Tan2go App dann ist.  Die Hotline meinte, Sie könnten die App dann auf Werkseinstellung zurücksetzten, was ich aber auch selber könnte, über das OnlineBanking. Fairerweise muss man dazusagen, das ich vorher meine Tanliste auch mal verloren habe und dann keine Tan´s hatte. Also ob ich nun wie früher meine Liste verliere, oder nun mein Handy und dann übergangsweise keine Tan´s habe, läuft ja auf dasselbe hinaus. Wegen der schlechten Erreichbarkeit im letzten Jahr, muss ich zwei Sterne abziehen. Weil die Bank sich verbessert hat und ihr Problem gelöst hat, füge ich einen wieder hinzu.","sparkonto.org","dkb"
"28.05.2019","3","Nach über 7 Monaten mit mehreren E-Mails hin und her und Telefonaten ist die Korrektur für den HausInvest-Fonds nunmehr erfolgt und hat auch eine Reduzierung des steuerpflichtigen Ertrags um knapp 300 Euro ergeben. Die DKB bedient sich für die Depotführung eines Dienstleisters, dem Vernehmen nach ist dies die Deutsche WertpapierService Bank, die nach eigenen Angaben 4,7 Millionen Wertpapierdepots von Sparkassen, Genossenschaftsbanken, Privat- und Geschäftsbanken betreut. Damit dürften von derartigen Problemen nicht nur DKB-Kunden betroffen sein ... Mein Urteil für das Depot verbessert sich aufgrund der letztlich doch noch erfolgten Korrektur um einen Stern.","sparkonto.org","dkb"
"24.05.2019","1","Seit fast 15 Jahren habe ich mein Konto bei der DKB und war sehr zufrieden mit der Bank und dem Kundenservice. Doch seit der Umstellung der Tanverfahren herrscht dort Chaos. Tan2go funktioniert auf keinem PC, weil die Ap nicht installiert werden kann. Das Chiptanverfahren liess sich problemlos installieren. Doch dann passierte mir ein Missgeschick. Beim Einloggen gah ich versehentlich die falsche Pin ein. Sofort wurde das Konto gesperrt. Bei jedem Versuch per E-Mail oder per Post ein neues Startkennwort zu bekommen, wurde ich an die Hotline verwiesen und habe die Nummer 030 120 300 00 gewaehlt. Bei der Warteschleife der DKB ein kostspieliges Vergnuegen, wenn man aus dem Ausland anruft. Die Sachbearbeiter waren hoeflich aber inkompetent und konnten keine Hilfe anbieten einzige Loesung per E-Mail.. loeschen sie Ihren Wohnsitz in Thailand aus unserem System. Seit dem 18.04.19 habe ich keinen Zugriff auf mein Konto. Konto 4 Sterne... Service keinen","sparkonto.org","dkb"
"14.05.2019","5","Ich nutze nun das Angebot der DKB seit knapp zwei Monaten. Erfahren habe ich von der Bank von meinem Geschäftsführer vor knapp 2 Jahren und nun habe ich mich nach einer Alternative umgesehen, als meine alte Hausbank meinte, die Kontoführungsgebühren erneut um 3  anzuheben. In der Zwischeneit habe ich probiert, ein Konto bei der ING DiBa zu eröffnen, leider misslang bereits die Verifizierung, sodass ich mir weiteren Stress ersparen wollte. Nun also die DKB. Der Beginn ist gleich mit der ING, Persönliche Daten eintragen, Konto eröffnen. Doch ab hier ist es dann bereits bei der DKB einfacher. Ich lud mir eine APP runter, um mich zu verifizieren. Nach etwa einer Woche flattern die ersten Briefe ins Haus und nach 2 Wochen ist alles komplett. Die DKB bietet einen Umzugsservice an. Mit Verlaub - das ist nicht in 10 Minuten geklärt, wenn man einige Lastschriften und Gutschriften hat. Es wird einem eine super Übersicht erstellt, die man abhaken kann und ein Teil der bestehenden Lastschriften lassen sich per automatischem Brief versenden.  Nachdem ich meinen Kontonamen ändern wollte, habe ich eine Leerzeile im Login gehabt. Die war auf einmal futsch. Nach kurzem Anruf und einer Minute Warteschlange (Hatte durch die Rezensionen mit wesentlich längerer Wartezeit gerechnet) wurde mir kompetent geholfen und ein neutraler Hinweis gegeben, trotz offizieller Verifizierung mit gewissen persönlichen Daten, so dass ein Fremder nicht auf die Lösung gekommen wäre. Sehr kompetent und freundlich. Die APP läuft super, sowohl Tan2Go als auch das Banking selber. Sogar mehrere Tagesgeldkonten sind möglich, was super die Haushaltsplanung unterstützt!!! Ich würde mir noch optionale Namen wünschen, dass sind aber itüpfelchen... Volle 5 Sterne für die bis jetzt gesammelte Erfahrung.","sparkonto.org","dkb"
"07.05.2019","1","I am so disappointed! After over 10 years of doing all of my financial businesses with this bank they kicked me out of the ""Aktivkunde""-programm because my incoming payment was 2 days too late! WOW! 2 days within 10 years!!! For travelling a lot I need to have the benefits of this program - that is the reason I am a client here. Beside this they just like that blocked my VISA-Card (for some security reasons - they didn´t detailed) before they sent me a new one! I was screwed! Being aboard without your credit card! So, thank you DKB for nothing! I would never ever recommend this bank to anyone anymore (even though I did it very often before! Sorry everyone...)! Sounds good, but it isn´t! The service is the worst I ever experienced.","sparkonto.org","dkb"
"07.05.2019","1","Ein absolutes Desaster ist die derzeitige Umstellung auf iTan. Service? Fehlanzeige. Soll alles über das Onlineportal abgewickelt werden. Hier gibt es jedoch nur Standardphrasen, individuell geht gar nicht, Hotline nicht erreichbar, immer belegt oder es wird aufgelegt. Einzahlungen über sogenannte ""Partner"" wie Rewe oder Penny kosten ein Vermögen, besser gesagt Wucher - bei 1000 Euro Einzahlung sind es 15 Euro Einzahlungsentgelt. Dann lieber zu einer Bank, die einen ordentlichen Schalter hat und man auch weiß, mit wem man es zu tun hat. Nie wieder.","sparkonto.org","dkb"
"02.05.2019","2","Wir sind seit vielen Jahren Kunden der DKB und bisher war alles in Ordnung. Der Service, über die Vermieterplattform Kautionen zu verwalten, ist sicher einmalig und wir schätzen auch sehr, dass es zu jedem Cash-Konto eine kostenfreie Kreditkarte gibt. Leider ist die Umstellung des TAN-Verfahrens von ITAN auf Chipkarte nicht geglückt. Es funktioniert einfach nicht über HBCI und die Hotline kann auch nicht helfen. Habe schon 4 mal versucht, telefonisch eine Lösung zu finden, ohne Erfolg. Rückrufe werden zugesagt, aber dann nicht erledigt. Dann fehlt angeblich wieder die Vollmacht für den Zugang, obwohl wir die Bestätigung per Email erhalten haben, dass alles eingepflegt wurde. Insgesamt nicht zufriedenstellender Service, was sehr schade ist bei dem guten Angebot. Ich kann schon fast eine Woche das Konto nicht nutzen, deshalb nur 2 Sterne.","sparkonto.org","dkb"
"29.04.2019","5","Ich bin seit ewiger Zeit zufriedener Kunde bei der DKB. Alles lief immer schnell und unkompliziert zu meiner vollsten Zufriedenheit. Besonders hervorzuheben ist die Trennung zwischen Tagesgeld und Kreditkartendebitkonto. Man verhindert so wirkungsvoll den Zugriff auf die höheren Geldbeträge des Tagesgeldkontos. Ich habe soeben das TAN-Verfahren von iTAN auf TAN2go umgestellt. Nach nicht einmal 5 Minuten konnte ich meine erste Überweisung machen. Die TAN2go App läuft auf einem Billigandroid Samsung J5 völlig problemlos. Die negativen Bewertungen sind mir ein Rätsel, einfacher gehts wirklich nicht.","sparkonto.org","dkb"
"29.04.2019","5","Ich habe seit 2, fast 3 Jahren ein Konto bei der DKB und dachte mir so, surf mal durch das Web was andere so sagen. Durch das ganzen negativen Berichte habe ich herausgefunden, dass es überhaupt eine Hotline gibt. Ich verstehe nur nicht, wozu man überhaupt die Hotline braucht!!! Geht doch alles Online. Jede Frage, die man hat, wird durch die Seite beantwortet. Es gibt sogar Erklärvideos, die es in Zeichentrick und Kind gerecht erklären! Ich habe offen gestanden kein Verständnis für Kunden, die der Bank die Schuld geben, wenn Sie Geld zu spät überweisen und dadurch ins Minus kommen. Ich bin selbst in der Versicherungsbranche tätig und auch wir haben mit Kunden zu kämpfen, die ständig umziehen und ihre neuen Kontaktdaten uns nicht mitteilen oder die uns keine E-Mail oder Handynummer geben.  Ich habe mir aufgrund der negativen Kritiken mal den Spaß gemacht und in der Hotline angerufen ...... und tadaaaa es war sofort jemand dran! Manchen Kunden/Usern kann man nicht glauben! Wir haben auch viele Kunden ,die uns den ganzen Tag belügen ... und damit zu kämpfen. Ich glaube jeder, der mit Kunden und Patienten zu tun hat, weiss das man nicht auf die Goldwaage legen sollte, was die so sagen. Ich für meinen Teil bin mit der DKB sehr zufrieden, über schlechtes kann ich nicht berichten und ich weiss bis heute auch nicht, wozu man die Hotline braucht. Geht doch alles online.... und auch was das über die User/Kunden aussagt, die so mit der DKB überfordert sind, das Sie auf die Hotline angewiesen sind.  Erfahrungsgemäß können Dienstleister auf solche Kunden auch verzichten und dann eben der Konkurrenz das Leben schwer machen. Mit Tan2go hatte ich nie Probleme. Mein neues Handy habe ich einfach per SMS verknüpft. Tadellos funktioniert. Wenn man natürlich nicht vollständig unselbstständig ist. PS: Ich weiss, meine diskreditierend schnippische Art ist hier etwas unangebracht, aber verkneifen konnte ich es mit nicht.","sparkonto.org","dkb"
"27.04.2019","2","Ich bin jetzt seit ca. 2 Jahren Aktivkunde bei der DKB. Es läuft alles zufriedenstellend, wenn man kein Anliegen hat. Die Konditionen sind Top. Aber sobald man jemanden erreichen muss, was leider vor kommt, wenn man die gesamte Familie auf die DKB umgestellt hat und umfassendes Privatkundengeschäfte (Auslandszahlungsverkehr, Kreditkartengeschäft, Wertpapiertransaktionen etc.) betreibt, ist man verloren. Ich bin mittlerweile wegen der Erreichbarkeit der Kundenhotline so frustriert, dass ich Alternative prüfe und das Wertpapiergeschäft bereits fast komplett wieder zu einem Direktbroker verlagert habe.","sparkonto.org","dkb"
"17.04.2019","2","Ich bin langjähriger Kunde und war immer sehr zufrieden. Seit ein paar Monaten lässt der Service stark nach. Außerdem kommt es regelmäßig zu Problemen beim Login. Mein Bankkonto ist also nicht zuverlässig erreichbar und das lässt mich überlegen, die Bank zu wechseln.","sparkonto.org","dkb"
"15.04.2019","5","Bin seit über 10 Jahren bei der DKB - und sehr zufrieden! Hatte nie Probleme, weder mit dem Girokonto noch mit dem Depot. Seit heute umgestellt auf chipTAN-Verfahren...ich geb zu, ich hatte gewisse Vorbehalte aufgrund von Kritiken. Daher hab ich mich im Vorfeld beim DKB-Service erkundigt (via Telefon; hatte sofort eine Beraterin erreicht). Die Dame erklärte es mir kurz und prägnant. Nun - die 1. Überweisung klappte problemlos :-)","sparkonto.org","dkb"
"14.04.2019","4","Ich bin seit vielen Jahren sehr zufriedener Kunde der DKB (gemeinsam mit meiner Frau). Geldabwicklung und Anfragen beim Service-Team waren immer problemlos, auch Kartenaustausch ging leicht von der Hand. Seit einiger Zeit nutze ich auch das DKB Broker Angebot. Damit bin ich grundsätzlich zufrieden, Abwicklung ist ziemlich einfach und ist bisher auch immer korrekt erfolgt. Ein kleiner Minuspunkt (deshalb nur 4 Sterne): Die grafische oder statistische Auswertung/Darstellung der Wertpapiere, die man im Portfolio hat, ist bei der DKB doch nur sehr ungenügend möglich. Hier werden Punkte in Sachen Kundenfreundlichkeit verschenkt. Ich hoffe, da bewegt sich die DKB in nächster Zeit.","sparkonto.org","dkb"
"04.04.2019","3","Bis zur Umstellung des TAN-Verfahrens hätte ich der DKB 5 Sterne gegeben: Girokonto und Kreditkarte kostenlos, Zinsen für Kreditkartenguthaben nicht mehr top, aber das ist bei mir nicht der Hauptzweck. Viele Jahre lief technisch praktisch alles glatt und benutzerfreundlich. Naja, seit einem Facelift im Onlinebanking haben sich die Zugriffszeiten etwas verlängert; sie sind noch akzeptabel. Über die schwachsinnige Abkürzung von DKB (""Das kann Bank"") sehe ich auch hinweg. Vor der Umstellung wurde einem jeweils signalisiert, wie oft man sich noch einloggen kann, bevor man sich zwangsweise für eines der neuen TAN-Verfahren entscheiden muss. Nun gehöre ich zu den (vielleicht aussterbenden) Zeitgenossen, bei denen Smartphone und W-LAN nicht ständig laufen. Zufällig gab es bei beiden während der Umstellphase auch noch Defekte. Nachdem es zuletzt geheißen hatte, es seien noch 5 weitere Logins möglich, waren es beim nächsten Mal noch 0 (null). Das Notebook hing da direkt am Kabel. Da das Smartphone nicht funktionierte, blieb nur die Möglichkeit, ein Tablet zu aktivieren. Um dieses mit W-LAN zu versorgen, musste ich das Kabel vom Notebook abziehen, also die Verbindung im Onlinebanking kappen. Nur mit Glück konnte ich die Sitzung über die neue W-LAN-Verbindung fortsetzen. Ansonsten wäre der Kontozugang wohl erstmal gesperrt gewesen, da ja nur 0 weitere Logins möglich waren. TAN2Go funktioniert nun. Ich finde es aber wesentlich umständlicher als bisher. Gegen das kommende Verbot der iTAN-Listen kann die Bank wohl nichts machen. Ich verstehe nicht, inwiefern diese unsicher gewesen sein sollen, wie ich vieles andere auch nicht nachvollziehen kann, was aus Brüssel verordnet wird. Und SMS-TAN ist der Bank wohl zu teuer.","sparkonto.org","dkb"
"03.04.2019","1","16 Jahre zufriedener Kunde (gewesen!) Die nunmehr gesetzlich vorgeschriebene Umstellung des TAN-Verfahrens ist grottenschlecht gemacht. Es klappt hinten und vorne nichts mehr mit TAN2go.  Ständig Anrufe bei der Hotline, nur weiterhelfen konnten die Mitarbeiter bislang auch nicht. Kann schon tagelang nicht mehr auf mein Konto zurückgreifen. Das ganze TAN2go System der DKB ist unausgereift und zu kompliziert.","sparkonto.org","dkb"
"27.03.2019","1","Wollte 1. alte Karte sperren und 2. neue Karte beantragen. Habe Hotline angerufen und entsprechend meinem Anliegen die angegebene Zahl gewählt: 1. Mitarbeiterin nicht dafür zuständig; sollte nochmal anrufen  und andere Nr. wählen 2. Mitarbeiterin nicht dafür zuständig; sollte nochmal anrufen und andere Nr. wählen 3. Mitarbeiter auch nicht zuständig; sollte nochmal anrufen, die Ansage komplett durchlaufen lassen und dann nach Aufforderung "" Kundenservice "" sagen !!!! 4. Versuch : wie bei 3. gesagt versucht, Warteschleife 10 Min. Blutdruck hoch, dann Ansage das kein Mitarbeiter frei ist und man seine Tel. Nr. hinterlassen soll, damit ein Rückruf erfolgt. Wollte Tel. draufsprechen, aber sofort wird man duch die automatische Ansage unterbrochen. 5. Versuch: wie bei 4 die Ansage nochmal durchlaufen gelassen; dann Kundenservice gesagt, nochmal 10 Min Warteschleife, dann Tel. versucht sehr schnell zu nennen, wieder unterbrochen !!! 6. Versuch: unter Hotline Nr. 1 Mitarbeiterin von Versuch 1-5 erzählt: wen wunderts : sie kann mir leider nicht helfen ausser mich zu bitten nochmal die Hotline anzurufen unter Nr. 4.... 7. Versuch: Mitarbeiter unte rNr. 4 das 2. mal dran; er wieder ; dafür bin ich nicht zuständig, ich kann sie zurückrufen lassen..... 8. Warte jetzt mal ab ob ein Rückruf kommt und nutze die Zeit mir eine neue Bank zu suchen....","sparkonto.org","dkb"
"26.03.2019","5","Dankenswerterweise vorgewarnt und durchaus eingeschüchtert durch den Erfahrungsbericht auf dieser Seite, stand für mich als Alt- und Aktivkunde der DKB nunmehr der Abschied von der iTAN-Papierliste an. Ich habe mich vorsichtshalber für die Anschaffung eines TAN-Generators entschieden (ca. 19 Euro), und die Umstellung soeben reibungslos durchgeführt. Das Verfahren mit dem TAN-Generator ist ein wenig mühselig (mehrfache Eingaben und Bestätigungen sind nötig), aber was tut man nicht alles für die Sicherheit. Ein Detail, das mir auffiel: anders als im eingangs genannten Bericht hat sich der Anmeldename für das DKB-Internetbanking offenbar nicht geändert, obwohl ich es soeben gleich mehrfach getestet habe (also in meinem Fall wie bisher die Kontonummer, und kein Zusatz: _c). Ich habe gehört, dass auch die App besser geworden sein, kann das aber nicht selbst bestätigen; den Mut zum Risiko hatte ich nicht. Alles in Allem bin ich mit der DKB sehr zufrieden. Es ist schade, wenn die Bank durch die IT-Probleme der jüngsten Vergangenheit Kratzer an ihrem Ruf bekommen hat, und gibt es jetzt hoffentlich einen Rückkehr zu business as usual.","sparkonto.org","dkb"
"25.03.2019","5","Ich bin seit über 10 Jahren Kunde bei der DKB und kann die vielen negativen Kommentare hier nicht nachvollziehen. Auch kann ich Kunden nicht verstehen, die immer zufrieden waren und dann, wenn einmal ein Problem auftaucht, zu einer anderen Bank gehen. Ich kann nur sagen, dass die DKB die erste Bank ist, mit der es niemals ein Problem gab. Der Service war die wenigen Male, wo er gebraucht wurde immer erreichbar. Ich finde es sehr schade, dass man ausschließlich dann auf die Idee kommt, eine Rezension zu schreiben, wenn man nicht zufrieden ist. In diesem Fall kann das Ergebnis auch nicht repräsentativ sein. Fehler passieren überall einmal. Ein gewisses Maß an Toleranz  muss man da wohl auch einräumen. Ich gehe absolut davon aus, dass die Mehrzahl der DKB Kunden zufrieden sind und wohl auch bleiben werden. Nur leider nimmt sich von diesen wohl kaum einer die Zeit, das hier kund zu tun. Auch wundert es mich, dass die Bewertungen auf anderen Seiten ausnahmslos gut sind ... wer schreibt hier? (Anmerkung der Redaktion: Es schreiben hier die Kunden. Sie haben es erkannt, meist nur im Fall von schlechten Erfahrungen. Das ist schade aber leider nicht zu ändern. Andere Portale veröffentlichen nur positive Kommentare. Dem wollen wir uns nicht anschliessen.)","sparkonto.org","dkb"
"25.03.2019","5","Am Automaten meiner Sparkasse (Ostsächsische Sparkasse) ist ein Hinweis angebracht, dass die DKB VISA nicht akzeptiert werden kann. Ich habe es einfach probiert. Ergebnis: 100 Euro Bargeld ohne Probleme und ohne Gebühren. Sekunden später kam die Push-Nachricht auf meinen iPhone über den Vorgang als Bestätigung. Da die Sparkasse Fremdbanken außerhalb des Sparkassennetzes in jedem Fall Gebühren in Rechnung stellt, gehe ich davon aus, dass die DKB diese übernommen hat. Das ist super und ich bin mit dem DKB Cash sehr zufrieden.","sparkonto.org","dkb"
